Company Name,Ticker,Exchange,GICS Sector,GICS Industry Group,GICS Industry,GICS Sub-Industry
Abbott Laboratories,ABT,New York Stock Exchange Inc.,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
AbbVie Inc,ABBV,New York Stock Exchange Inc.,Health Care,Pharmaceuticals and Biotechnology,Biotechnology,Biotechnology
Abercrombie & Fitch Co,ANF,New York Stock Exchange Inc.,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
Acadia Healthcare Co Inc,ACHC,Nasdaq,Health Care,Health Care Equipment and Services,Health Care Providers and Services,Health Care Facilities
Activision Blizzard Inc,ATVI,Nasdaq,Communication Services,Media & Entertainment,Entertainment,Interactive Home Entertainment
Adobe Inc,ADBE,Nasdaq,Information Technology,Software and Services,Software,Application Software
Advanced Micro Devices,AMD,Nasdaq,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
Aemetis Inc,AMTX,Nasdaq,Energy,Energy,Oil Gas and Consumable Fuels,Oil and Gas Refining and Marketing
Aflac Inc,AFL,New York Stock Exchange Inc.,Financials,Insurance,Insurance,Life and Health Insurance
Air Canada,AC,Toronto Stock Exchange,Industrials,Transportation,Airlines,Airlines
Air Products & Chemicals Inc,APD,New York Stock Exchange Inc.,Materials,Materials,Chemicals,Industrial Gases
Alibaba Group Holding Ltd,BABA,New York Stock Exchange Inc.,Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail
Alimentation Couche-Tard Inc,ATD,Toronto Stock Exchange,Consumer Staples,Food and Staples Retailing,Food and Staples Retailing,Food Retail
Allstate Corp,ALL,New York Stock Exchange Inc.,Financials,Insurance,Insurance,Property and Casualty Insurance
Alphabet Inc,GOOG,Nasdaq,Communication Services,Media & Entertainment,Interactive Media & Services,Interactive Media & Services
Aluminum Corporation of China Ltd,ACH,BCBA,Materials,Materials,Metals and Mining,Aluminum
Amazon.com Inc,AMZN,Nasdaq,Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail
Ambev SA,ABEV3,B3 S.A.,Consumer Staples,Food Beverage and Tobacco,Beverages,Brewers
AMC Entertainment Holdings,AMC,New York Stock Exchange Inc.,Communication Services,Media & Entertainment,Entertainment,Movies & Entertainment
American Airlines Group Inc,AAL,Nasdaq,Industrials,Transportation,Airlines,Airlines
American Eagle Outfitters Inc,AEO,New York Stock Exchange Inc.,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
American Electric Power Co Inc,AEP,Nasdaq,Utilities,Utilities,Electric Utilities,Electric Utilities
American Express Co,AXP,New York Stock Exchange Inc.,Financials,Diversified Financials,Consumer Finance,Consumer Finance
American Water Works Co Inc,AWK,New York Stock Exchange Inc.,Utilities,Utilities,Water Utilities,Water Utilities
Amgen Inc,AMGN,Nasdaq,Health Care,Pharmaceuticals and Biotechnology,Biotechnology,Biotechnology
AMN Healthcare Services Inc,AMN,New York Stock Exchange Inc.,Health Care,Health Care Equipment and Services,Health Care Providers and Services,Health Care Services
Anhui Conch Cement Co Ltd,00914,Hong Kong Exchanges And Clearing Ltd,Materials,Materials,Construction Materials,Construction Materials
Apple Inc,AAPL,Nasdaq,Information Technology,Technology Hardware and Equipment,Technology Hardware Storage and Peripherals,Technology Hardware Storage and Peripherals
Aptiv PLC,APTV,New York Stock Exchange Inc.,Consumer Discretionary,Automobiles and Components,Auto Components,Auto Parts and Equipment
ArcBest Corp,ARCB,Nasdaq,Industrials,Transportation,Road and Rail,Trucking
Arista Networks Inc,ANET,New York Stock Exchange Inc.,Information Technology,Technology Hardware and Equipment,Communications Equipment,Communications Equipment
Artisan Partners Asset Management Inc,APAM,New York Stock Exchange Inc.,Financials,Diversified Financials,Capital Markets,Asset Management and Custody Banks
ASGN Inc,ASGN,New York Stock Exchange Inc.,Industrials,Commercial Services and Supplies,Professional Services,Human Resource and Employment Services
Ashland Global Holdings Inc,ASH,New York Stock Exchange Inc.,Materials,Materials,Chemicals,Specialty Chemicals
Asian Paints Ltd,500820,BSE LTD,Materials,Materials,Chemicals,Specialty Chemicals
Astra Microwave Products Ltd,532493,BSE LTD,Information Technology,Technology Hardware and Equipment,Communications Equipment,Communications Equipment
AstraZeneca PLC,AZN,London Stock Exchange,Health Care,Pharmaceuticals and Biotechnology,Pharmaceuticals,Pharmaceuticals
AT&T Inc,T,New York Stock Exchange Inc.,Communication Services,Telecommunication Services,Diversified Telecommunication Services,Integrated Telecommunication Services
Atacadao SA,CRFB3,B3 S.A.,Consumer Staples,Food and Staples Retailing,Food and Staples Retailing,Hypermarkets and Super Centers
Atul Ltd,500027,BSE LTD,Materials,Materials,Chemicals,Diversified Chemicals
Aurobindo Pharma Ltd,524804,BSE LTD,Health Care,Pharmaceuticals and Biotechnology,Pharmaceuticals,Pharmaceuticals
Aurora Cannabis Inc,ACB,Toronto Stock Exchange,Health Care,Pharmaceuticals and Biotechnology,Pharmaceuticals,Pharmaceuticals
Autozone Inc,AZO,New York Stock Exchange Inc.,Consumer Discretionary,Retailing,Specialty Retail,Automotive Retail
